OBJECTID,ZIP,ZIPCODE,COUNTY,SHAPE_Length,SHAPE_Area,Code
57,98136,98136,33,52802.88815,63195436.09,1
58,98055,98055,33,68049.88576,124138931.3,1
59,98056,98056,33,92795.37509,197657193.1,1
60,98057,98057,33,85004.56136,184711229,1
61,98092,98092,53,29033.33966,31805301.23,1
62,98058,98058,33,174295.9397,627855679.3,1
63,98059,98059,33,145598.0774,462241546.3,1
64,98164,98164,33,1115.523726,77740.24278,1
65,98166,98166,33,90590.98903,158200262.8,1
66,98065,98065,33,345717.4767,2404508899,1
67,98068,98068,37,220477.1122,1769965765,1
68,98103,98103,33,71421.20475,144008320,1
69,98104,98104,33,35668.30252,21087301.98,1
70,98105,98105,33,77620.08429,97035433.49,1
71,98106,98106,33,79836.81135,148201379.4,1
